Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
68;-38919,107;5411,067;938,429;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.506;;
69;-38919,106;5411,067;938,420;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.507;;
70;-38919,105;5411,069;938,420;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.508;;
71;-38919,104;5411,068;938,425;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.509;;
72;-38919,104;5411,069;938,418;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.510;;
73;-38919,104;5411,067;938,419;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.511;;
74;-38919,102;5411,068;938,416;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.512;;
75;-38919,102;5411,066;938,417;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.513;;
76;-38919,104;5411,049;938,407;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.514;;
77;-38919,104;5411,046;938,410;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.515;;
78;-38919,101;5411,057;938,409;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.516;;
79;-38919,104;5411,037;938,402;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.517;;
80;-38919,100;5411,055;938,406;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.518;;
81;-38919,101;5411,046;938,407;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.519;;
82;-38919,099;5411,052;938,399;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.520;;
83;-38919,099;5411,050;938,405;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.521;;
84;-38919,098;5411,055;938,402;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.522;;
85;-38919,096;5411,062;938,402;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.523;;
86;-38919,095;5411,059;938,408;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.524;;
87;-38919,096;5411,052;938,408;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.525;;
88;-38919,095;5411,053;938,405;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.526;;
89;-38919,094;5411,050;938,405;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.527;;
90;-38919,094;5411,047;938,417;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.528;;
91;-38919,093;5411,044;938,410;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.529;;
92;-38919,092;5411,045;938,411;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.530;;
93;-38919,093;5411,039;938,409;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.531;;
94;-38919,092;5411,035;938,411;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.532;;
95;-38919,092;5411,029;938,412;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.533;;
96;-38919,091;5411,030;938,418;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.534;;
97;-38919,089;5411,037;938,409;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.535;;
98;-38919,087;5411,045;938,404;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.536;;
99;-38919,086;5411,047;938,418;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.537;;
100;-38919,084;5411,054;938,414;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.538;;
